Date,cumulative,SPY_Price
2013-03-12,200000.0,200000.0
2013-03-13,199972.20888910338,200282.6326195445
2013-03-14,200089.03018975526,201348.92484732388
2013-03-15,200115.41432671883,200192.7147511959
2013-03-18,200228.48836717775,199087.88349372966
2013-03-19,200124.001220232,198625.3955347261
2013-03-20,200285.65300664975,200012.85941173678
2013-03-21,199788.70795817193,198304.22388549478
2013-03-22,200177.5949556426,199897.24232267635
2013-03-25,200029.65144077945,199062.18427301786
2013-03-26,200401.81047572035,200655.20271019946
2013-03-27,200631.34854100744,200655.20271019946
2013-03-28,200470.55750474508,201271.84678795026
2013-04-01,200065.6490642173,200475.34737074035
2013-04-02,200298.09564792327,201464.56153914612
2013-04-03,200119.38890805014,199421.89495193597
2013-04-04,199937.10730328152,200231.25378088266
2013-04-05,199387.00297302785,199331.97708358735
2013-04-08,199539.76536057764,200680.90193091126
2013-04-09,200305.38323135884,201374.6240680357
2013-04-10,201365.24806681892,203841.2199818008
2013-04-11,200895.23555723033,204509.26250097522
2013-04-12,200835.9561549581,204008.23551228485
2013-04-15,200038.96378504622,199280.57864216372
2013-04-16,200778.70506766962,202222.5219266692
2013-04-17,199568.7209802458,199267.73883318875
2013-04-18,198529.18596217022,198021.59126595026
2013-04-19,199385.7869726869,199743.0666011673
2013-04-22,200059.9917703203,200629.50348948766
2013-04-23,201182.19727949126,202697.8496946478
2013-04-24,201532.25353532238,202826.326195445
2013-04-25,201746.61148779996,203648.52483336674
2013-04-26,201155.4518171712,203288.81415444857
2013-04-29,202001.72111947488,204650.5788107475
2013-04-30,202951.2863371242,205138.74638770107
2013-05-01,202481.54743725725,203340.19299311042
2013-05-02,203507.42729665202,205228.6838588115
2013-05-03,204325.3967656661,207309.86987294667
2013-05-06,205011.91885547087,207836.59608234887
2013-05-07,204967.9329140332,208890.04850115324
2013-05-08,205233.8907801068,209840.70403711038
2013-05-09,204909.47324186785,209249.75918007136
2013-05-10,205477.8533369481,209930.6415082208
2013-05-13,205479.3788950254,210097.63743594306
2013-05-14,206174.2651876108,212268.76092118866
2013-05-15,206241.54166261834,213412.13120834169
2013-05-16,206444.91903223353,212410.07723096092
2013-05-17,207420.22246719984,214465.5836271461
2013-05-20,207477.3996848262,214452.72421540925
2013-05-21,207434.747354586,214761.05605566557
2013-05-22,206749.203302352,213168.037618484
2013-05-23,206826.01397037663,212551.39354073317
2013-05-24,206235.41236641732,212371.53820127412
2013-05-28,206485.56882600233,213643.38498922435
2013-05-29,206496.8615445817,212255.92111221366
2013-05-30,206999.44762999137,213039.58072044855
2013-05-31,206809.97713199307,209982.02034688264
2013-06-03,206725.28513062882,211138.25004577244
2013-06-04,205464.9824475099,210123.3366566549
2013-06-05,205272.38741623523,207181.41297491122
2013-06-06,205501.7220189691,209057.04442887552
2013-06-07,206976.97705470643,211716.35509383644
2013-06-10,207114.23473365494,211716.35509383644
2013-06-11,206089.19513377402,209532.39179961587
2013-06-12,205462.207430484,207798.05705266204
2013-06-13,205994.10698303833,210958.39470631338
2013-06-14,205232.18160338112,209635.14947693952
2013-06-17,206541.03837269713,211253.86713483286
2013-06-18,207156.00421550227,212923.9636313881
2013-06-19,205806.09836767806,209982.02034688264
2013-06-20,203440.84896616338,204779.03570878296
2013-06-21,203097.79954631298,204355.10638222797
2013-06-24,201316.24272180127,201772.87377664066
2013-06-25,202350.97637822878,203712.76308376537
2013-06-26,203436.59174893147,205729.71084750188
2013-06-27,204373.5557538194,206937.31938505353
2013-06-28,204256.01589145875,206089.42152642
2013-07-01,206053.36264895668,207297.03006397164
2013-07-02,206895.14409846003,207104.33491553756
2013-07-03,207215.1099943213,207194.25278388624
2013-07-05,208079.84569121993,209429.6145195304
2013-07-08,208869.5486468428,210624.36364534526
2013-07-09,209891.418915647,212140.30402315324
2013-07-10,210665.62099768076,212217.38208252683
2013-07-11,212939.64155355195,215107.92692560868
2013-07-12,214217.8254999649,215197.8447939573
2013-07-15,214339.33560893388,216020.04343187905
2013-07-16,214022.78744111833,215210.70420569414
2013-07-17,214692.89661769485,215763.11003304634
2013-07-18,214209.2392145156,216945.01934988616
2013-07-19,212608.3120713559,217330.42924951608
2013-07-22,213041.1521535005,217754.37817883288
2013-07-23,211622.867435425,217291.8902198293
2013-07-24,211866.89061766642,216495.3908026194
2013-07-25,211045.79707336577,217022.09740925982
2013-07-26,211384.03588929112,217253.35119014248
2013-07-29,211072.7717439441,216585.30867096805
2013-07-30,212443.64054421417,216585.30867096805
2013-07-31,212291.22245065556,216739.48439247708
2013-08-01,215344.3888207928,219244.619335929
2013-08-02,215498.6310278249,219617.16982382216
2013-08-05,215409.89690795564,219295.99817459082
